params	mean_test_AUC	std_test_AUC	mean_test_Accuracy	std_test_Accuracy	rank_test_AUC
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 50}	0.7752963950488183	0.019613637477504532	0.9482030428635303	0.0015069259343757286	379
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}	0.7799008847435914	0.019621672537432615	0.9488054525020845	2.0543558385988092e-05	373
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}	0.7957711800911028	0.0183218616841379	0.9490064571223712	0.0007346490184762879	331
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 300}	0.7958207009288374	0.020212851699964892	0.9486050521041035	0.000964157271776773	329
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 50}	0.7886573866446904	0.023099273615977564	0.9490062557149361	0.0011692914329512042	359
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}	0.8008770585065056	0.020535091949748032	0.9496086653534903	0.0007405593911106669	288
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}	0.8058608096937672	0.020724372420835854	0.9494076607332037	0.0010280391476696505	258
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 300}	0.8063093777790759	0.019889647966234006	0.9494076607332037	0.0010280391476696505	252
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 50}	0.7931756570196968	0.02672142744942749	0.9498092671589063	0.00110002888975372	341
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}	0.8021736721567766	0.024281940064580343	0.9498092671589063	0.00110002888975372	281
